REGION_NAME     ,DIVISION_NAME   ,COUNCIL_NAME              ,POLLING_STATION                                  ,POLLING_STATIONS_COUNT
                ,                ,                          ,DEULWALTI FOYER COMMUNAUTAIRE / A                ,1
                ,                ,                          ,DJALI ECOLE PUBLIQUE / A                         ,1
                ,                ,                          ,DJAMTARI ECOLE PUBLIQUE / A                      ,1
                ,                ,                          ,DJOUMVOLI ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,ECOLE PROTESTANTE MAYO-BALEO / A                 ,1
                ,                ,                          ,GADJIWAN ECOLE PUBLIQUE GP2 / A                  ,1
                ,                ,                          ,GADJIWAN ECOLE PUBLIQUE GP2 / B                  ,1
                ,                ,                          ,GADJIWAN SALLE DES FEMMES / A                    ,1
                ,                ,                          ,GADJIWAN SALLE DES FEMMES / B                    ,1
                ,                ,                          ,GALTI ECOLE PUBLIQUE / A                         ,1
                ,                ,                          ,GANATI ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,GNIBANGO ECOLE DES PARENTS / A                   ,1
                ,                ,                          ,GOURWALTI ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,GUENDOUMIN ECOLE DES PARENTS / A                 ,1
                ,                ,                          ,GUERENG ECOLE PUBLIQUE / A                       ,1
                ,                ,                          ,KELECTI ECOLE PUBLIQUE / A                       ,1
                ,                ,                          ,KOUGOUMTI ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,LASSOUMTI SALLE COMMUNAUTAIRE / A                ,1
                ,                ,                          ,MAYAKO ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,MAYO-BADJI ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,MAYO-BALEO ECOLE BILINGUE / A                    ,1
                ,                ,                          ,MAYO-BALEO ECOLE BILINGUE / B                    ,1
                ,                ,                          ,MAYO-BALEO ECOLE PROTESTANTE / A                 ,1
                ,                ,                          ,MAYO-BALEO ECOLE PUBLIQUE GP1 / A                ,1
                ,                ,                          ,MAYO-BALEO ECOLE PUBLIQUE GP2 / A                ,1
                ,                ,                          ,MAYO-DJAOULE ECOLE PUBLIQUE / A                  ,1
                ,                ,                          ,MAYO-KAOULEDJI ECOLE PUBLIQUE / A                ,1
                ,                ,                          ,PAWATI ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,SALASSA ECOLE PUBLIQUE / A                       ,1
                ,                ,                          ,SAMELECTI ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,SARKI MATA ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,TONGO SARKI YAI ECOLE PUBLIQUE / A               ,1
                ,                ,                          ,VOGGOURWATI ECOLE PUBLIQUE / A                   ,1
                ,                ,TIGNERE                   ,                                                 ,64
                ,                ,                          ,BOURLE ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,CARREFOUR GALIM ECOLE PUBLIQUE / A               ,1
                ,                ,                          ,DD FORET ET FAUNE / A                            ,1
                ,                ,                          ,DD MINEPIA / A                                   ,1
                ,                ,                          ,DD MINEPIA / B                                   ,1
                ,                ,                          ,DEL ARR AGRICULTURE / A                          ,1
                ,                ,                          ,DEL ARR AGRICULTURE / B                          ,1
                ,                ,                          ,DEL DPTLE ENVIRONNEMENT / A                      ,1
                ,                ,                          ,DEL DPTLE JEUNESSE / A                           ,1
                ,                ,                          ,DOUALAYEL ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,DOUALAYEL ECOLE PUBLIQUE / B                     ,1
                ,                ,                          ,DOUALAYEL ECOLE PUBLIQUE / C                     ,1
                ,                ,                          ,DOUALAYEL ECOLE PUBLIQUE / D                     ,1
                ,                ,                          ,DOUALAYEL PTT / A                                ,1
                ,                ,                          ,E.P DE LIBONG SARKI SANOU / A                    ,1
                ,                ,                          ,ECOLE ARABE / A                                  ,1
                ,                ,                          ,ECOLE ARABE / B                                  ,1
                ,                ,                          ,ECOLE PUB. NGAOUTERE / A                         ,1
                ,                ,                          ,ECOLE PUB. NGAOUTERE / B                         ,1
                ,                ,                          ,FADA ECOLE CORANIQUE / A                         ,1
                ,                ,                          ,FADA ECOLE CORANIQUE / B                         ,1
                ,                ,                          ,FARO DJIDDA ECOLE PUBLIQUE / A                   ,1
                ,                ,                          ,FARO RANCH ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,FOYER ARA / A                                    ,1
                ,                ,                          ,FOYER ARA / B                                    ,1
                ,                ,                          ,GARBAYA DJIRE ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,GARBAYA YELWA ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,GASSANGUEL ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,GASSANGUEL ELEVAGE / A                           ,1
                ,                ,                          ,HORE GARBAYA ECOLE PUBLIQUE / A                  ,1
                ,                ,                          ,HOTEL DES FINANCES / A                           ,1
                ,                ,                          ,INSPECTION MINEDUB / A                           ,1
                ,                ,                          ,KAREDJE ECOLE PUBLIQUE / A                       ,1
                ,                ,                          ,KODJOLI ECOLE PUBLIQUE / A                       ,1
                ,                ,                          ,LABBARE ECOLE DES PARENTS / A                    ,1
                ,                ,                          ,LAOURE ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,LIBONG MARCHE ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,LIBONG MARCHE ECOLE PUBLIQUE / B                 ,1
                ,                ,                          ,LIBONG MBOUM ECOLE PUBLIQUE / A                  ,1
                ,                ,                          ,LOUGGUERE ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,LOUNGTOUNG ECOLE CORANIQUE / A                   ,1
                ,                ,                          ,MAYO-DJARANDI ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,MAYO-DJARANDI ECOLE PUBLIQUE / B                 ,1
                ,                ,                          ,MAYO-NAGUE ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,MAYO-NOLTI ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,MAYO-ROUKOUNGO ECOLE CORANIQUE / A               ,1
                ,                ,                          ,MAYO-TIGNERE ECOLE PUBLIQUE / A                  ,1
                ,                ,                          ,MAYO-TOLERE ECOLE PUBLIQUE / A                   ,1
                ,                ,                          ,MBAKANA ANTENNE ECOLE PUBLIQUE / A               ,1
                ,                ,                          ,MBAKANA BANTAHI ECOLE DES PARENTS / A            ,1
                ,                ,                          ,PARO LAWEL 2 ECOLE PUBLIQUE / A                  ,1
                ,                ,                          ,PAROL LAWEL 1 MAISON DE LA FEMME / A             ,1
                ,                ,                          ,SABONGARI E MAT BILINGUE / A                     ,1
                ,                ,                          ,SABONGARI ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,SADECK ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,SADECK ECOLE PUBLIQUE / B                        ,1
                ,                ,                          ,SARKI POULANI ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,TCHABBAL MBANA ECOLE CORANIQUE / A               ,1
                ,                ,                          ,TIKAR ECOLE PUBLIQUE / A                         ,1
                ,                ,                          ,WOULDE ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,WOULDE ECOLE PUBLIQUE / B                        ,1
