COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Ngaoundal,,,,,,,,,,,,,,,
Ngaoundal,Centre Dinstruction Cpefan A,,,,,,,,,,,,,,
Yaounde I,G Scolaire Bilingue La Grace C,378,188,187,1,0,86,0,81,13,0,0,2,0,5
Yaounde I,G Scolaire Bilingue La Grace D,397,205,205,04,00,93,00,58,35,01,00,00,05,09
Yaounde I,Gpe Sco Bilingue Sinai A,109,112,112,00,00,106,00,03,02,00,00,00,01,00
Yaounde I,Groupe Scolaire Bilik City A,375,219,219,0,0,128,2,67,14,1,0,1,3,3
Yaounde I,Groupe Scolaire Bilik City B,325,187,185,1,0,96,0,64,19,0,0,0,1,5
Yaounde I,Groupe Scolaire Bilingue Ange A,346,172,172,0,0,129,0,25,12,1,0,,1,3
Yaounde I,Groupe Scolaire Bilingue Ange B,292,131,131,00,00,100,01,14,13,00,00,00,01,02
Yaounde I,Groupe Scolaire Bilingue Les A,356,205,203,02,,120,00,58,15,01,01,01,01,06
Yaounde I,Groupe Scolaire La Marfee A,372,258,258,00,00,194,02,34,12,01,00,00,02,16
Yaounde I,Groupe Scolaire La Marfee B,,,,,,178,00,40,11,00,00,00,03,10
Yaounde I,Groupe Scolaire La Marfee C,339,168,168,00,01,117,01,20,19,00,00,02,01,07
Yaounde I,Groupe Scolaire La Marfee D,370,134,133,1,0,77,0,37,9,0,1,1,0,8
Yaounde I,Groupe Scolaire La Marfee E,355,151,151,0,0,71,2,45,17,0,0,0,6,10
Yaounde I,Groupe Scolaire Le Nil A,348,205,205,0,,109,0,81,12,0,0,0,1,2
Yaounde I,Groupe Scolaire Le Nil B,369,195,193,2,2,77,0,88,25,0,0,0,2,1
Yaounde I,Groupe Scolaire Le Nil C,264,144,144,01,00,59,01,57,20,02,01,02,00,01
Yaounde I,Hopital De District Olembe A,397,244,243,1,0,174,2,45,15,1,0,2,0,4
Yaounde I,Hopital De District Olembe C,368,178,171,07,00,108,00,45,12,00,00,01,02,03
Yaounde I,Hopital De District Olembe D,379,164,164,0,0,86,0,57,16,1,0,1,0,3
Yaounde I,Hopital De District Olembe E,356,191,191,00,,108,01,48,20,01,01,05,01,06
Yaounde I,Institut Bilingue Demana A,393,192,193,01,,88,02,77,12,02,00,00,00,12
